Atributo,Importancia_RF
Satisfaccion,0.1013436970907624
Edad,0.08764230148453532
IngresoMensual,0.08630226256328194
AntiguedadMeses,0.07878206920271995
QuejasUltimos6M,0.07361977968678363
TiempoPromedioSesionMin,0.0704089072991231
DiasDesdeUltimaCompra,0.062679908628295
CuponesUsados,0.057665052821610774
ComprasUltimos12M,0.057360255331486566
CantidadCompras,0.05319250016360367
Segmento,0.05201953947838841
VisitasWebUltimoMes,0.04574865578342418
ZonaResidencia_Urbana,0.026727199537249464
ZonaResidencia_Rural,0.014859838071957766
CanalPreferido_Web,0.011929497278059073
CanalPreferido_Tienda física,0.011398442168056907
Ciudad_Cartagena,0.009436144078739623
CodigoCampania_D,0.00918858639845011
CanalPreferido_Redes sociales,0.009016789201664608
Ciudad_Medellín,0.008880185456252314
Ciudad_Bogotá,0.008582966601884276
ZonaResidencia_Periurbana,0.00843965234679985
CodigoCampania_B,0.007867703137336486
CodigoCampania_C,0.007416305265516592
CodigoCampania_F,0.0071734609181021034
CanalPreferido_Referido,0.006764883935346101
Ciudad_Barranquilla,0.00674687770606208
CodigoCampania_A,0.006456687854239582
CodigoCampania_E,0.006255574068064518
Ciudad_Cali,0.006094276442203592
